id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11920504,"Pretty flat, 6min walk Surbiton Stn",42519860,Julie,,Kingston upon Thames,51.38820272,-0.306567933,Entire home/apt,75,2,1,05/04/2016,0.16,1,0
3697446,Contemporary 2 bed 2 bath apartment,18751651,Kevin,,Kingston upon Thames,51.41328449,-0.304011074,Entire home/apt,94,3,49,18/09/2016,2.02,1,264
14706411,Lovely Victorian studio flat - 6 reviews,20860377,Linda,,Kingston upon Thames,51.41547277,-0.286178021,Entire home/apt,82,2,0,,,2,11
13131313,Period two bed apartment,73134251,Simon,,Kingston upon Thames,51.42716541,-0.304886361,Entire home/apt,75,1,10,18/09/2016,3.85,1,12
5135737,"Kingston Riverside, LONDON",26551969,Tulip,,Kingston upon Thames,51.41508021,-0.307569018,Entire home/apt,155,14,1,06/09/2016,1,1,343
5902097,Cosy flat in SW London with parking,21799011,Chris,,Kingston upon Thames,51.41739757,-0.286355829,Entire home/apt,75,2,19,09/07/2016,1.16,3,312
6840639,3 Bed Family Home,35846457,Nirjhar,,Kingston upon Thames,51.39799561,-0.278263084,Entire home/apt,149,1,0,,,1,0
10897236,1 Sole/Entire Use of Flat-21MinsTo London-WATERLOO,56469941,Young 영원,,Kingston upon Thames,51.39346883,-0.244989668,Entire home/apt,48,2,7,22/09/2016,1.05,2,167
9968347,CONVENIENT SPACIOUS FLAT,28536352,Manuel,,Kingston upon Thames,51.40190763,-0.278253045,Entire home/apt,44,5,0,,,1,0
3292514,Sunny large studio flat,1888792,Emma,,Kingston upon Thames,51.39209496,-0.306069653,Entire home/apt,60,3,7,27/07/2016,0.26,1,0
11091919,12-London style - incredible price!,30629100,Gary,,Croydon,51.38377534,-0.082860924,Entire home/apt,38,4,1,02/09/2016,0.94,9,279
13308188,Beautiful family house,75167499,Kathrine,,Croydon,51.40707312,-0.094623314,Entire home/apt,85,2,4,01/09/2016,1.5,1,0
10128245,17 Spacious & chic London Studio,30629100,Gary,,Croydon,51.38238567,-0.081441139,Entire home/apt,50,3,5,18/08/2016,1.85,9,180
14370098,Beautiful 3 Bedroom 2 Reception House,55176878,Pilkesh,,Croydon,51.40856369,-0.129603874,Entire home/apt,300,1,0,,,4,340
13844392,Beautiful open plan flat Purley,41301837,Ishbel,,Croydon,51.34276015,-0.123457696,Entire home/apt,70,1,5,29/09/2016,1.9,1,353
