id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5074946,"Large Double Room, Free Parking",3086158,Verma,,Kingston upon Thames,51.38995021,-0.244387389,Private room,45,1,0,,,2,365
14380469,Double room in huge house,13494737,Tina,,Kingston upon Thames,51.40690567,-0.272229017,Private room,27,3,0,,,1,0
14354497,Lovely room in great location,17661141,Selma,,Kingston upon Thames,51.41540998,-0.285894445,Private room,38,1,4,04/09/2016,2.5,1,321
9862925,Spacious Triple Room with Two Single Beds,28650375,Hugh,,Kingston upon Thames,51.39677021,-0.249347,Private room,30,1,1,11/09/2016,1,9,17
11073476,"Kingston, Wimbledon, London Airport",38363495,Sanober,,Kingston upon Thames,51.3932694,-0.262658803,Private room,65,1,16,28/09/2016,4.21,2,326
6222799,"Loft room in Victorian house, near Richmond Park",32264660,Alison,,Kingston upon Thames,51.41941496,-0.288244975,Private room,45,1,7,12/09/2016,1.83,1,355
14348532,Spacious Bright Apartment close to River Thames,47299467,Marta,,Kingston upon Thames,51.39425929,-0.310322786,Private room,99,3,0,,,1,275
13925711,Lovely double bedroom near Kingston,57918999,Carolyn,,Kingston upon Thames,51.41125839,-0.284472989,Private room,70,1,2,15/09/2016,0.82,1,89
6745039,"Luxury Double Room + Private Bath,Modern Apartment",35316592,Ben,,Kingston upon Thames,51.41509112,-0.304405496,Private room,45,1,57,24/09/2016,3.62,1,8
14347081,Double bedroom in Kingston Upon thames. Cosy,87821955,Giri,,Kingston upon Thames,51.41138107,-0.29056627,Private room,40,1,3,10/09/2016,1.7,3,365
1197908,Perfect for Wimbledon-inc.breakfast,6543906,Sug Joon,,Kingston upon Thames,51.38904786,-0.259044158,Private room,50,2,21,01/10/2015,0.52,4,90
10822914,Historic Town Kingston,41888299,Christel,,Kingston upon Thames,51.42296959,-0.297018887,Private room,30,1,10,12/09/2016,1.65,1,352
12770213,Massive Double Room In Central Kingston,17085262,Riccardo,,Kingston upon Thames,51.41022424,-0.300946996,Private room,25,1,2,05/08/2016,0.81,2,0
13266670,Single room in charming Victorian cottage,44989368,Caroline,,Kingston upon Thames,51.39533389,-0.310673086,Private room,33,1,3,10/07/2016,0.73,1,178
1231996,Large Double Room in a Family Home,151192,James,,Kingston upon Thames,51.40627391,-0.294357103,Private room,50,1,68,02/10/2016,1.69,1,354
9488185,Big and lovely room in Kingston,48645021,Eric,,Kingston upon Thames,51.43112588,-0.26101212,Private room,40,1,1,29/04/2016,0.19,5,340
13552086,Luxury spacious Apartment with Nice room & Ensuite,78038208,Sammy,,Kingston upon Thames,51.39289554,-0.302542369,Private room,35,1,20,30/09/2016,6.06,2,85
2476333,Garden Room,12665529,Eva,,Kingston upon Thames,51.42131461,-0.299535566,Private room,25,7,15,31/08/2016,0.53,2,287
13287835,Double room in terraced house close to Station,68095704,Ryan,,Kingston upon Thames,51.39452489,-0.311530429,Private room,38,1,3,14/07/2016,0.98,1,275
14991542,spacious double bedroom with on-suite nr kingston,94505200,Bharti,,Kingston upon Thames,51.37521404,-0.28583678,Private room,40,1,1,23/09/2016,1,1,140
6867451,Double Room in lovely family home,35056584,Melanie,,Kingston upon Thames,51.39061476,-0.280073412,Private room,40,4,7,27/06/2016,0.46,1,0
15120772,Spacious double bedroom w/ terrace,95824813,Mohammed,,Kingston upon Thames,51.41329582,-0.301396076,Private room,45,1,1,23/09/2016,1,1,364
1406006,"Charming room, very close to centre",2271813,Ryan,,Kingston upon Thames,51.40866127,-0.297002723,Private room,39,1,40,19/09/2016,1.05,1,337
5290274,House overlooking Richmond Park,27396120,Denise,,Kingston upon Thames,51.42111052,-0.280556984,Private room,72,1,5,12/05/2015,0.27,1,362
14070767,Kingston Hill Rooms,36418899,Anish,,Kingston upon Thames,51.42247755,-0.277281413,Private room,33,1,0,,,2,0
4502201,Nice square single room and bed,17249646,Sangho,,Kingston upon Thames,51.40610255,-0.271178919,Private room,23,1,35,17/09/2016,1.77,2,349
13244648,Double bedroom ensuite / Kingston Hill,72137588,Siva,,Kingston upon Thames,51.42193461,-0.279268922,Private room,30,1,0,,,2,144
7023710,Mordern flat-Dbl room-Gr8 location,36816573,Stuart,,Kingston upon Thames,51.4149937,-0.284194665,Private room,59,1,0,,,1,365
2714787,Double/twin room & private lounge,13892353,Ruth,,Kingston upon Thames,51.42027102,-0.290018139,Private room,45,2,97,02/10/2016,3.2,1,345
8949661,Lovely Double Bedroom in London,46779014,Kezra,,Kingston upon Thames,51.4022049,-0.293013123,Private room,35,1,6,11/07/2016,1,1,365
13666503,"Loft Space, ensuit in Beautiful home",69072328,Joey,,Kingston upon Thames,51.41619158,-0.294496627,Private room,60,1,1,02/07/2016,0.32,1,0
14976692,"En-Suite, Spacious Private Room",94352925,Hassan,,Kingston upon Thames,51.40437643,-0.292281701,Private room,55,1,0,,,1,330
7111532,One room available in 2 bed flat,37251098,Mel,,Kingston upon Thames,51.41273725,-0.290240216,Private room,35,1,0,,,1,297
5800803,Quaint terrace house Richmond Park ,13845085,Nadine,,Kingston upon Thames,51.436696,-0.255042778,Private room,65,1,0,,,1,139
10108732,Double Bedroom in Kingston,51876165,Will,,Kingston upon Thames,51.41840612,-0.299225728,Private room,60,1,1,20/09/2016,1,1,365
5460485,"clean warm room, friendly family ",28324843,Maureen,,Kingston upon Thames,51.40959218,-0.286852156,Private room,50,1,5,06/12/2015,0.35,1,365
13062515,Double room on a modern flat,4554173,Ana,,Kingston upon Thames,51.40781199,-0.284529563,Private room,65,1,0,,,1,89
3097560,Lovely self-contained studio flat,15360548,Mila,,Kingston upon Thames,51.42798032,-0.261113939,Private room,72,1,0,,,1,0
7028582,Kingston upon Thames Great house,36456894,Linda,,Kingston upon Thames,51.41781838,-0.296588274,Private room,50,2,33,26/09/2016,2.22,1,350
735298,Sleep well in our Kingston home.,3822323,Julia,,Kingston upon Thames,51.41709474,-0.300863296,Private room,39,2,2,14/09/2015,0.15,1,365
4662316,Surbiton - 14 mins to Waterloo St!,8077866,Marineide,,Kingston upon Thames,51.39447656,-0.300807858,Private room,65,2,1,24/07/2015,0.07,1,365
3875430,"Lovely Room, 15 minutes to London ",20023995,Leonor,,Kingston upon Thames,51.39000603,-0.304092742,Private room,36,1,71,28/09/2016,2.82,2,336
7283027,LARGE TENT IN LEAFY SUBURBAN GARDEN,26831951,Sara,,Kingston upon Thames,51.40656688,-0.269025556,Private room,22,2,12,12/07/2016,0.81,1,185
5344655,Lovely double bedroom in SW London,27697324,Jean,,Kingston upon Thames,51.40175974,-0.25524411,Private room,32,2,15,30/09/2016,2.56,1,351
3217809,Comfortable rear upper room,12665529,Eva,,Kingston upon Thames,51.41953599,-0.297529728,Private room,25,7,9,14/08/2016,0.34,2,200
6101282,Gorgeous double room with ensuite!,30952945,Trish,,Kingston upon Thames,51.38599986,-0.300868417,Private room,40,3,3,22/01/2016,0.19,1,362
13964385,Smart and simple smaller double,9402045,Edward,,Kingston upon Thames,51.40487713,-0.25932069,Private room,26,6,1,17/09/2016,1,3,295
5910748,The Beach House in the Suburbs,30698497,Mike,,Kingston upon Thames,51.38872166,-0.266799204,Private room,45,2,11,05/07/2016,0.61,1,339
